Session ID,Class Name,Grade Range,Instructor,Day of Week,Time,Start Date,End Date,Number of Classes,Location,Cost,Program Overview,Detail URL
552783,Textiles with Issy,Grades 1st - 6th,Issy Taylor,Monday,3:30 PM - 4:30 PM,1/12/2026,4/27/2026,13,CAIS K - 8th,"$1,250.00","Come enjoy the creative world of textiles with Issy. Students will learn the basics of embroidery, hand sewing and even learn to use the sewing machine. Students will move at their own pace and bring home projects as they finish them. Pillows, clothing, bags, quilts and more! All abilities are welcome.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=552783&campCode=cis
546252,Storytelling through Comics and Basic Animation,Grades 1st - 8th,Sela L.,Tuesday,3:30 PM - 4:30 PM,1/13/2026,6/9/2026,20,CAIS K - 8th,$910.00,"Storytelling in Comic and basic animation classes will focus on engaging each students' creativity individually but also emphasizing on activities that are done collaboratively as a class. Each session will be an hour. The session will open up with a 5-10 minute ice-breaker activity, where students are required to draw still forms from their surroundings with dialogues or character expressions, this allows the class to know how their fellow students are doing and how to be supportive towards their peer group. This activity also sets pace for the main topic of the session, which lasts for 20-30 minutes. The main themes in this class range from understanding and drawing basic comic elements, to character design and personalities, character facial expressions, gestures, the use of emanata lines, sound effects, dialogues and thought bubbles, self-made flip books, basics of animation, to web publishing formats for comics online (The themes are appropriated to class age and size). The last 5-10 minutes of the class are for questions that students may have or an overall class critique on the work done by the students. The critiquing is always constructive, to make the students realize their own potential as artists and storytellers.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546252&campCode=cis
547168,"Yarn Club – Keep Creating, Keep Crafting!",Grades Kindergarten - 8th,Fiona Kwee,Tuesday,4:30 PM - 5:30 PM,1/13/2026,6/9/2026,18,CAIS K - 8th,"$1,170.00","Yarn Club – Keep Creating, Keep Crafting! Whether you're just curious or already hooked, Yarn Club is the perfect place to dive into cozy crafting with a community of fellow makers! From beginner-friendly knitting and crocheting to playful weaving and yarn-based projects, each session offers something new to try or build upon—at your own pace. Returning students will continue developing their skills while taking on more creative challenges—think mini plushies, wall hangings, or custom accessories. New to yarn? No problem! We'll start with the basics and guide you every step of the way. It’s a welcoming space to unwind, explore, and **actually finish projects you’re proud of**. Great for kids who love to craft, want to keep progressing, or just want a relaxing, creative outlet after school.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=547168&campCode=cis
554348,Textile Tinkering Lab,Grades 2nd - 5th,Maker Studio,Wednesday,3:30 PM - 4:30 PM,1/14/2026,5/27/2026,17,CAIS K - 8th,$780.00,"Get ready to stitch, weave, and design your way through the colorful world of textiles! In this hands-on lab, young makers will experiment with fabric, felt, yarn, and thread to create both functional and artistic projects. We’ll explore beginner-friendly sewing techniques, playful weaving, fabric painting, embroidery, and more . Projects include plushies, woven wall hangings, hand-painted fabric patches, and custom accessories. Along the way, students will learn how to measure, cut, and join fabrics while developing patience, problem-solving skills, and creative design thinking. Perfect for curious creators who love to work with their hands and transform soft materials into something one-of-a-kind. **Skills learned:** hand-sewing, embroidery, weaving, fabric painting, design basics, creative problem-solving.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554348&campCode=cis
552859,Air Clay Art,Grades 2nd - 8th,Sau Wei Ma,Wednesday,4:15 PM - 5:15 PM,1/15/2026,6/4/2026,20,CAIS K - 8th,$800.00,"Clay art class helps children step away from screens and use their hands to create. By kneading and shaping clay, they strengthen fine motor skills, improve hand–eye coordination, and spark creativity and imagination. Each piece they make reflects their ideas and confidence. Children discover and explore different cultures by creating art with clay.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=552859&campCode=cis
546259,Chibi to Epic: Create Your Own Manga!,Grades 5th - 8th,Mishra Shuchita and TBD,Thursday,3:45 PM - 4:45 PM,1/15/2026,6/4/2026,17,CAIS K - 8th,$780.00,"From adorable chibis to bold, action-packed epics, this workshop invites you to dive into the world of manga creation! Students will explore the fundamentals of manga storytelling—character design, panel composition, pacing, and expressive visual language. Through hands-on drawing exercises and story development sessions, you’ll learn how to bring your own characters and narratives to life, whether it’s a slice-of-life comedy or an adventure fantasy. By the end of the class, each participant will create a short, original manga ready to share in a mini showcase. No prior experience needed—just your imagination and love for stories!",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546259&campCode=cis
552785,Fantastical Clay Class with Issy,Grades Kindergarten - 5th,Issy Taylor,Thursday,3:30 PM - 4:30 PM,1/15/2026,5/7/2026,13,CAIS K - 8th,"$1,250.00","An art class like never before. Students will get to experience the full benefits of the new campus' ceramic studio beyond their regular art curriculum. Students will hand build, experiment with new glazes and learn how the kilns work. They will learn new skills they haven't gotten during the school day. They will bring home their pieces as they finish them! This new class will be a lot of fun!",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=552785&campCode=cis
554381,"Makerz: Tools, Techniques & Gadgets",Grades 2nd - 5th,Maker Studio,Thursday,4:40 PM - 5:40 PM,1/15/2026,5/28/2026,17,CAIS K - 8th,$780.00,"Get ready to tinker, build, and create like a true maker! In this hands-on class, young innovators will explore real maker tools, cool crafting techniques, and clever gadgets that bring ideas to life. From learning how to safely use hand tools and hot glue guns, to discovering surprising everyday items that can become part of your project, kids will experiment with building, fastening, and designing in new ways. Each week features a mini project that puts skills into action — from moving contraptions to creative upcycled inventions. Along the way, we’ll practice problem-solving, creativity, and “maker mindset” — learning that every challenge is just a chance to try something new. Perfect for curious creators who love to take things apart, put them back together, and dream up what’s next. **Skills learned:** tool safety, assembly techniques, creative problem-solving, design thinking, and gadget exploration.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554381&campCode=cis
546335,Spring Sewing: Advance,Grades 1st - 8th,Fiona Kwee,Thursday,4:30 PM - 5:30 PM,1/15/2026,6/4/2026,16,CAIS K - 8th,"$1,098.00","[No Class March 19] Take sewing to the next level! Our Advanced Sewing Class is designed for students who already have intermediate sewing experience and are ready to grow their skills. Over the weeks, young designers will explore pattern reading, fabric selection, detailed stitching, and machine sewing techniques while working on more challenging projects. From wearable accessories and plush creations to decorative home crafts, students will gain confidence in both design and construction, learning to plan, sew, and finish with precision and creativity. Finished projects vary with the skill and pace of the students.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546335&campCode=cis
546332,Spring Sewing: Beginner & Intermediate,Grades Kindergarten - 5th,Fiona Kwee,Thursday,3:30 PM - 4:30 PM,1/15/2026,6/4/2026,16,CAIS K - 8th,"$1,098.00","[No Class March 19] Learn to sew this spring! In our fun and creative Beginners Sewing Class, young makers will learn the basics of sewing while creating adorable spring-themed projects they can take home with pride. Each week focuses on building fundamental skills such as threading a needle and cutting fabric safely, different types of stitching, pinning, and decorating simple patterns. Intermediate sewers will continue to hone their stitching skills and work on more intricate projects. Students will complete a variety of projects such as mini pillows, tote bags, and small plushies, while discovering the joy of working with fabric and color.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=546332&campCode=cis
