Session ID,Class Name,Grade Range,Instructor,Day of Week,Time,Start Date,End Date,Number of Classes,Location,Cost,Program Overview,Detail URL
531232,4/6-4/10 Preschool Spring Break Mini-Camp,Grades P2 - P4,Unknown,,,4/6/2026,4/10/2026,,CAIS K-8th,,"Fee: $275 per day Extended care from 3:30 - 6:00 p.m. is $35 per day. If your child is signed up for April extended care, this care will be included with participation in a mini camp.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=531232&campCode=cis
553476,Social Emotional Learning Activities with Coach Douglass [S26],Grades P3 - P4,Coach Michele Douglass,Tuesday,3:30 PM - 4:30 PM,1/13/2026,6/9/2026,20,CAIS K-8th,$900,"This class uses weekly themes, songs, engaging activities, puppets, and visual aids to help children better understand, manage, and express their emotions. They will also build empathy, develop positive relationships, and learn to make responsible decisions—all essential skills for lifelong success. Instructor: Coach Michele Douglass Fee: $900 Tuesday: (20 classes) Jan. 13, 20, 27; Feb. 3, 10, 24; Mar. 3, 10, 17, 24, 31; Apr. 14, 21, 28; May 5, 12, 19, 26; Jun. 2, 9",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553476&campCode=cis
553480,Rabbit Hole’s Dress Up and Imagine [S26],Grades P3 - P4,Unknown,Wednesday,3:30 PM - 4:30 PM,1/14/2026,6/10/2026,20,CAIS K-8th,,"Fee: $900 Wednesday: (20 classes) Jan. 14, 21, 28; Feb. 4, 11, 25; Mar. 4, 11, 18, 25; Apr. 1, 15, 22, 29; May 6, 13, 20, 27; Jun. 3, 10.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553480&campCode=cis
553479,Little Artists by Zhuang Laoshi [S26],Grades P3 - P4,Unknown,Wednesday,3:30 PM - 4:30 PM,1/14/2026,6/10/2026,20,CAIS K-8th,$995,"In this course, we encourage children to: Discover beauty in everyday life; Feel the emotions of color; Express the thoughts within their hearts. Each lesson is a little experiment in exploration—guiding children to find their own artistic voice through free and joyful creation. Fee: $995 Wednesday: (20 classes) Jan. 14, 21, 28; Feb. 4, 11, 25; Mar. 4, 11, 18, 25; Apr. 1, 15, 22, 29; May 6, 13, 20, 27; Jun. 3, 10.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553479&campCode=cis
553481,Maker’s Club [S26],Grades P3 - P4,Unknown,,3:30 PM - 4:30 PM,1/14/2026,6/10/2026,20,CAIS K-8th,$960,"This exciting engineering program inspires students to pursue futures in science and technology. While working with Maker Kits, students build mechanical, artistic, and engineering skills and learn to act as inventors in their own right. They design remote-controlled hydraulic arms, learn to harness energy to power race cars, and experiment with structural design. Students keep their inventions and proudly share their projects with family and friends. Fee: $960 (20 classes) Jan. 14, 21, 28; Feb. 4, 11, 25; Mar. 4, 11, 18, 25; Apr. 1, 15, 22, 29; May 6, 13, 20, 27; Jun. 3, 10.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553481&campCode=cis
554507,[S26] Twinkle Treasures: Jewelry Making,Grades P3 - P4,Unknown,,3:30 PM - 4:30 PM,1/15/2026,6/4/2026,17,CAIS K-8th,$765,"Fee: $765 Thur (17 classes) Jan. 15, 22, 29; Feb. 5, 26; Mar. 5, 12, 19, 26; Apr. 16, 23, 30; May 7, 14, 21, 28; Jun. 4",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554507&campCode=cis
553483,AcroSports [S26],Grades P3 - P4,Unknown,Thursday,3:30 PM - 4:30 PM,1/15/2026,6/4/2026,17,CAIS K-8th,$765.00,"AcroSports Offsite Classes bring the energy, creativity, and spirit of AcroSports straight to your school or community! Our dynamic programs introduce kids to the joy of movement through gymnastics, parkour, tumbling, breakdancing, and circus arts—building strength, coordination, balance, and confidence along the way. Led by experienced AcroSports coaches, our classes combine physical skill-building with creativity, teamwork, and self-expression. Each session is packed with fun challenges and progressive skill development, helping kids explore movement safely while having a blast. Whether in preschools, elementary schools, community centers, or after-school programs, AcroSports Offsite Classes bring the same quality instruction and excitement you know from our main gym—just in your neighborhood! What We Offer Our offsite classes introduce kids to the excitement of movement through a vibrant mix of gymnastics, tumbling, parkour, breakdancing, and circus arts. Each discipline builds coordination, confidence, and creativity in its own way—whether it’s learning rolls and balance skills in gymnastics, moving fluidly over obstacles in parkour, expressing rhythm and individuality through breakdancing, or discovering teamwork and performance in circus arts. Together, these experiences help children develop strength, agility, and imagination while having fun in a safe, supportive environment led by our passionate AcroSports coaches. Why Parents Love It - Builds physical literacy, confidence, and resilience - Encourages creative expression and teamwork - Flexible locations — we bring AcroSports to you! - A safe, engaging way for kids to stay active and have fun Fee: $ Thursday: (17 classes) Jan. 15, 22, 29; Feb. 5, 26; Mar. 5, 12, 19, 26; Apr. 16, 23, 30; May 7, 14, 21, 28; Jun. 4 Extended care from 3:30 - 6:00 p.m. is $35 per day. If your child is signed up for September extended care, this care will be included with participation in a mini camp.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553483&campCode=cis
553485,[S26] The Design Thinking Adventure with Peng Laoshi in Chinese,Grades P3 - P4,Unknown,Friday,3:30 PM - 4:30 PM,1/15/2026,6/5/2026,14,CAIS K-8th,$700,"Fee: $700 Friday: (14 classes) Jan. 16, 23, 30; Feb. 6, 27; Mar. 6, 13; Apr. 17, 24; May 1, 8, 15, 29; Jun. 5.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=553485&campCode=cis
554512,Sensory Art Explorers: Creative Process & Discovery [S26],Grades P3 - P4,Unknown,,3:30 PM - 4:30 PM,1/16/2026,6/5/2026,14,CAIS K-8th,$630,"Fee: $630 (14 classes) Jan. 16, 23, 30; Feb. 6, 27; Mar. 6, 13; Apr. 17, 24; May 1, 8, 15, 29; Jun. 5.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554512&campCode=cis
554084,Creative Clay with Dong Laoshi in Chinese [S26],Grades P3 - P4,Unknown,Monday,3:30 PM - 4:30 PM,1/12/2026,6/8/2026,18,CAIS K-8th,,"Through this hands-on process, children not only explore and express their creativity, but also strengthen their fine motor skills as they press, pinch, roll, and shape the clay. Creative Clay offers the perfect space for children to dream big, create freely, and learn through joyful, meaningful play! Fee: $900 Monday: (18 classes) Jan. 12, 26; Feb. 2, 9, 23; Mar. 2, 9, 16, 23, 30; Apr. 13, 20, 27; May 4, 11, 18; Jun. 1,8.",https://www.ultracamp.com/info/sessionDetail.aspx?idCamp=502&idSession=554084&campCode=cis
